CODMORPHOCIMO3|LIBMORPHOCIMO3|MORPHO_IACR|GROUPE_MORPHO_IACR|REG_5|REG_14|REG_17
82143|Carcinome à cellules pariétales (C16.-)|Adenocarcinomas|3|5||17
82153|Adénocarcinome des glandes anales (C21.1)|Adenocarcinomas|3|5||17
82200|Adénomatose polypoïde du côlon (C18.-)|Adenocarcinomas|3|5||17
82203|Adénocarcinome sur adénomatose polypoïde du côlon (C18.-)|Adenocarcinomas|3|5||17
82210|Polypose multiple|Adenocarcinomas|3|5||17
82213|Adénocarcinome sur polypes adénomateux multiples|Adenocarcinomas|3|5||17
82302|Carcinome canalaire intraépithélial solide (C50.-)|Other specific carcinomas|4|5||17
82303|Carcinome solide, SAI|Other specific carcinomas|4|5||17
82313|Carcinome simplex|Other specific carcinomas|4|5||17
82401|Tumeur carcinoïde de potentiel malin incertain|Other specific carcinomas|4|5||17
82403|Tumeur carcinoïde , SAI (sauf appendice,r M-8240/1)|Other specific carcinomas|4|5||17
82413|Carcinoïde malin à cellules entérochromaffines|Other specific carcinomas|4|5||17
82421|Carcinoïde à cellules entérochromaffinoïdes, SAI|Other specific carcinomas|4|5||17
82423|Carcinoïde malin à cellules entérochromaffinoïdes|Other specific carcinomas|4|5||17
82433|Tumeur maligne mucocarcinoïde|Other specific carcinomas|4|5||17
82443|Tumeur carcinoïde mixte|Other specific carcinomas|4|5||17
82451|Carcinoïde tubuleux|Other specific carcinomas|4|5||17
82453|Tumeur adénocarcinoïde|Other specific carcinomas|4|5||17
80000|Tumeur bénigne|Unspecified types of cancer|17|||17
80001|Tumeur de bénignité ou de malignité non assurée|Unspecified types of cancer|17|||17
80003|Tumeur maligne, SAI|Unspecified types of cancer|17|||17
80006|Tumeur métastatique|Unspecified types of cancer|17|||17
80009|Tumeur maligne de nature primaire ou secondaire non assurée|Unspecified types of cancer|17|||17
80010|Cellules tumorales bénignes|Unspecified types of cancer|17|||17
80011|Cellules tumorales de bénignité ou de malignité non assurée|Unspecified types of cancer|17|||17
80013|Cellules tumorales malignes|Unspecified types of cancer|17|||17
80023|Tumeur maligne à petites cellules|Unspecified types of cancer|17|||17
80033|Tumeur maligne à grandes cellules|Unspecified types of cancer|17|||17
80043|Tumeur maligne à cellules fusiformes|Unspecified types of cancer|17|||17
80050|Tumeur à cellules claires, SAI|Unspecified types of cancer|17|||17
80053|Tumeur maligne à cellules claires|Unspecified types of cancer|17|||17
80100|Tumeur épithéliale bénigne|Unspecified carcinomas|5|5||17
80102|Carcinome in situ, SAI|Unspecified carcinomas|5|5||17
80103|Carcinome, SAI|Unspecified carcinomas|5|5||17
80106|Carcinome métastatique, SAI|Unspecified carcinomas|5|5||17
80109|Carcinomatose|Unspecified carcinomas|5|5||17
80110|Épithéliome bénin|Unspecified carcinomas|5|5||17
80113|Épithéliome malin|Unspecified carcinomas|5|5||17
80123|Carcinome à grandes cellules, SAI|Unspecified carcinomas|5|5||17
80133|Carcinome neuroendocrinien à grandes cellules|Unspecified carcinomas|5|5||17
80143|Carcinome à grandes cellules avec un phénotype rhabdoïde|Unspecified carcinomas|5|5||17
80153|Carcinome à cellules hyalines|Unspecified carcinomas|5|5||17
80203|Carcinome indifférencié, SAI|Unspecified carcinomas|5|5||17
80213|Carcinome anaplasique, SAI|Unspecified carcinomas|5|5||17
80223|Carcinome pléomorphe|Unspecified carcinomas|5|5||17
80303|Carcinome à cellules géantes et à cellules fusiformes|Other specific carcinomas|4|5||17
80313|Carcinome à cellules géantes|Other specific carcinomas|4|5||17
80323|Carcinome à cellules fusiformes, SAI|Other specific carcinomas|4|5||17
80333|Carcinome pseudosarcomateux|Other specific carcinomas|4|5||17
80343|Carcinome à cellules polygonales|Other specific carcinomas|4|5||17
80353|Carcinome à cellules géantes ostéoclastiformes|Other specific carcinomas|4|5||17
80400|Tumorlet bénin|Other specific carcinomas|4|5||17
80401|Tumorlet, SAI|Other specific carcinomas|4|5||17
80413|Carcinome à petites cellules, SAI|Other specific carcinomas|4|5||17
80423|Carcinome à cellules en grain d’avoine (C34.-)|Other specific carcinomas|4|5||17
80433|Carcinome à petites cellules fusiformes|Other specific carcinomas|4|5||17
80443|Carcinome à petites cellules intermédiaires|Other specific carcinomas|4|5||17
80453|Carcinome mixte à petites cellules|Other specific carcinomas|4|5||17
80463|Carcinome non à petites cellules (C34.-)|Other specific carcinomas|4|5||17
80500|Papillome, SAI (à l’exclusion du papillome de la vessie M-8120/1)|Unspecified carcinomas|5|5||17
80502|Carcinome papillaire in situ|Unspecified carcinomas|5|5||17
80503|Carcinome papillaire, SAI|Unspecified carcinomas|5|5||17
80510|Papillome verruqueux|Squamous and transitional cell carcinomas|1|5||17
80513|Carcinome verruqueux, SAI|Squamous and transitional cell carcinomas|1|5||17
80520|Papillome spinocellulaire, SAI|Squamous and transitional cell carcinomas|1|5||17
80522|Carcinome épidermoïde papillaire non invasif|Squamous and transitional cell carcinomas|1|5||17
80523|Carcinome épidermoïde papillaire|Squamous and transitional cell carcinomas|1|5||17
80530|Papillome épidermoïde inversé|Squamous and transitional cell carcinomas|1|5||17
80600|Papillomatose épidermoïde|Squamous and transitional cell carcinomas|1|5||17
80702|Carcinome épidermoïde in situ, SAI|Squamous and transitional cell carcinomas|1|5||17
80703|Carcinome épidermoïde, SAI|Squamous and transitional cell carcinomas|1|5||17
80706|Carcinome épidermoïde, métastatique, SAI|Squamous and transitional cell carcinomas|1|5||17
80713|Carcinome épidermoïde kératinisant, SAI|Squamous and transitional cell carcinomas|1|5||17
80723|Carcinome épidermoïde non kératinisant, à grandes cellules, SAI|Squamous and transitional cell carcinomas|1|5||17
80733|Carcinome épidermoïde non kératinisant, à petites cellules|Squamous and transitional cell carcinomas|1|5||17
80743|Carcinome épidermoïde à cellules fusiformes|Squamous and transitional cell carcinomas|1|5||17
80753|Carcinome épidermoïde pseudo-glandulaire|Squamous and transitional cell carcinomas|1|5||17
80762|Carcinome épidermoïde in situ avec possibilité d’envahissement du stroma|Squamous and transitional cell carcinomas|1|5||17
80763|Carcinome épidermoïde micro-invasif|Squamous and transitional cell carcinomas|1|5||17
80772|Néoplasie intraépithéliale, grade III (voir règles de codage, page x)|Squamous and transitional cell carcinomas|1|5||17
80783|Carcinome épidermoïde avec formation d’une corne cutanée|Squamous and transitional cell carcinomas|1|5||17
80802|Érythroplasie de Queyrat (C60.-)|Squamous and transitional cell carcinomas|1|5||17
80812|Maladie de Bowen (C44.-)|Squamous and transitional cell carcinomas|1|5||17
80823|Carcinome lymphoépithélial|Squamous and transitional cell carcinomas|1|5||17
80833|Carcinome épidermoïde basaloïde|Squamous and transitional cell carcinomas|1|5||17
80843|Carcinome épidermoïde à cellules claires|Squamous and transitional cell carcinomas|1|5||17
80901|Tumeur basocellulaire (C44.-)|Basal cell carcinomas|2|5||17
80903|Carcinome basocellulaire, SAI (C44.-)|Basal cell carcinomas|2|5||17
80913|Carcinome basocellulaire superficiel multifocal (C44.-)|Basal cell carcinomas|2|5||17
80923|Carcinome basocellulaire infiltrant, SAI (C44.-)|Basal cell carcinomas|2|5||17
80933|Carcinome basocellulaire fibro-épithélial (C44.-)|Basal cell carcinomas|2|5||17
80943|Carcinome basospinocellulaire (C44.-)|Basal cell carcinomas|2|5||17
80953|Carcinome intermédiaire (C44.-)|Basal cell carcinomas|2|5||17
80960|Épithéliome intra-épidermique de Borst et Jadassohn (C44.-)|Basal cell carcinomas|2|5||17
80973|Carcinome basocellulaire nodulaire (C44.-)|Basal cell carcinomas|2|5||17
80983|Carcinome basocellulaire adénoïde (C53.-)|Basal cell carcinomas|2|5||17
81000|Trichoépithéliome (C44.-)|Basal cell carcinomas|2|5||17
81010|Trichofolliculome (C44.-)|Basal cell carcinomas|2|5||17
81020|Trichilemmome (C44.-)|Basal cell carcinomas|2|5||17
81023|Trichilemmocarcinome (C44.-)|Basal cell carcinomas|2|5||17
81030|Tumeur pilaire (C44.-)|Basal cell carcinomas|2|5||17
81100|Pilomatrixome, SAI (C44.-)|Basal cell carcinomas|2|5||17
81103|Carcinome pilomatriciel (C44.-)|Basal cell carcinomas|2|5||17
81200|Papillome bénin à cellules transitionnelles|Squamous and transitional cell carcinomas|1|5||17
81201|Papillome à cellules transitionnelles, SAI|Squamous and transitional cell carcinomas|1|5||17
82463|Carcinome neuroendocrinien, SAI|Other specific carcinomas|4|5||17
82473|Carcinome à cellules de Merkel (C44.-)|Other specific carcinomas|4|5||17
82481|Apudome|Other specific carcinomas|4|5||17
82493|Tumeur carcinoïde maligne atypique|Other specific carcinomas|4|5||17
82501|Adénomatose pulmonaire (C34.-)|Other specific carcinomas|4|5||17
82503|Adénocarcinome bronchioloalvéolaire, SAI (C34.-)|Other specific carcinomas|4|5||17
82510|Adénome alvéolaire (C34.-)|Other specific carcinomas|4|5||17
82513|Adénocarcinome alvéolaire (C34.-)|Other specific carcinomas|4|5||17
82523|Carcinome bronchioloalvéolaire non mucineux (C34.-)|Other specific carcinomas|4|5||17
82533|Carcinome bronchioloalvéolaire mucineux (C34.-)|Other specific carcinomas|4|5||17
82543|Carcinome bronchioloalvéolaire mixte mucineux et non mucineux (C34.-)|Other specific carcinomas|4|5||17
82553|Adénocarcinome avec sous-types mixtes|Other specific carcinomas|4|5||17
82600|Adénome papillaire, SAI|Adenocarcinomas|3|5||17
82603|Adénocarcinome papillaire, SAI|Adenocarcinomas|3|5||17
82610|Adénome villeux|Adenocarcinomas|3|5||17
82612|Adénocarcinome in situ sur adénome villeux|Adenocarcinomas|3|5||17
82613|Adénocarcinome sur adénome villeux|Adenocarcinomas|3|5||17
82623|Adénocarcinome villeux|Adenocarcinomas|3|5||17
82630|Adénome tubulovilleux, SAI|Adenocarcinomas|3|5||17
82632|Adénocarcinome in situ sur adénome tubulovilleux|Adenocarcinomas|3|5||17
82633|Adénocarcinome sur adénome tubulovilleux|Adenocarcinomas|3|5||17
82640|Papillomatose glandulaire|Adenocarcinomas|3|5||17
82700|Adénome chromophobe (C75.1)|Adenocarcinomas|3|5||17
82703|Adénocarcinome chromophobe (C75.1)|Adenocarcinomas|3|5||17
82710|Prolactinome (C75.1)|Adenocarcinomas|3|5||17
82720|Adénome pituitaire, SAI (C75.1)|Adenocarcinomas|3|5||17
82723|Carcinome pituitaire, SAI (C75.1)|Adenocarcinomas|3|5||17
82800|Adénome acidophile (C75.1)|Adenocarcinomas|3|5||17
82803|Adénocarcinome éosinophile (C75.1)|Adenocarcinomas|3|5||17
82810|Adénome mixte acidophile et basophile (C75.1)|Adenocarcinomas|3|5||17
82813|Adénocarcinome mixte acidophile et basophile (C75.1)|Adenocarcinomas|3|5||17
82900|Adénome oxyphile|Adenocarcinomas|3|5||17
82903|Adénocarcinome oxyphile|Adenocarcinomas|3|5||17
83000|Adénome basophile (C75.1)|Adenocarcinomas|3|5||17
83003|Adénocarcinome à cellules basophiles (C75.1)|Adenocarcinomas|3|5||17
83100|Adénome à cellules claires|Adenocarcinomas|3|5||17
83103|Adénocarcinome à cellules claires, SAI|Adenocarcinomas|3|5||17
83111|Tumeur hypernéphroïde [obs]|Adenocarcinomas|3|5||17
83123|Carcinome à cellules rénales, SAI (C64.9)|Adenocarcinomas|3|5||17
83130|Adénofibrome à cellules claires (C56.9)|Adenocarcinomas|3|5||17
83131|Adénofibrome à cellules claires à la limite de la malignité (C56.9)|Adenocarcinomas|3|5||17
83133|Adénocarcinofibrome à cellules claires (C56.9)|Adenocarcinomas|3|5||17
83143|Carcinome riche en lipides (C50.-)|Adenocarcinomas|3|5||17
83153|Carcinome riche en glycogènes (C50.-)|Adenocarcinomas|3|5||17
83163|Carcinome à cellules rénales associé à un kyste (C64.9)|Adenocarcinomas|3|5||17
83173|Carcinome à cellules rénales chromophobes (C64.9)|Adenocarcinomas|3|5||17
83183|Carcinome à cellules rénales sarcomatoïde (C64.9)|Adenocarcinomas|3|5||17
83193|Carcinome des tubes droits du rein (C64.9)|Adenocarcinomas|3|5||17
83203|Carcinome à cellules granuleuses|Adenocarcinomas|3|5||17
83210|Adénome à cellules principales (C75.0)|Adenocarcinomas|3|5||17
83220|Adénome à cellules eau de roche (C75.0)|Adenocarcinomas|3|5||17
83223|Adénocarcinome à cellules eau de roche (C75.0)|Adenocarcinomas|3|5||17
83230|Adénome à cellules mixtes|Adenocarcinomas|3|5||17
83233|Adénocarcinome à cellules mixtes|Adenocarcinomas|3|5||17
83240|Adénolipome|Adenocarcinomas|3|5||17
83250|Adénome métanéphrique (C64.9)|Adenocarcinomas|3|5||17
83300|Adénome vésiculaire (C73.9)|Adenocarcinomas|3|5||17
83301|Adénome vésiculaire atypique (C73.9)|Adenocarcinomas|3|5||17
83303|Adénocarcinome vésiculaire, SAI (C73.9)|Adenocarcinomas|3|5||17
83313|Adénocarcinome vésiculaire bien différencié (C73.9)|Adenocarcinomas|3|5||17
83323|Adénocarcinome vésiculaire trabéculaire (C73.9)|Adenocarcinomas|3|5||17
83330|Adénome microvésiculaire, SAI (C73.9)|Adenocarcinomas|3|5||17
83333|Adénocarcinome foetal|Adenocarcinomas|3|5||17
83340|Adénome macrovésiculaire (C73.9)|Adenocarcinomas|3|5||17
83353|Carcinome vésiculaire microinvasif (C73.9)|Adenocarcinomas|3|5||17
83360|Adénome trabéculaire hyalinisant (C73.9)|Adenocarcinomas|3|5||17
83373|Carcinome insulaire (C73.9)|Adenocarcinomas|3|5||17
83403|Carcinome papillaire, variante vésiculaire (C73.9)|Other specific carcinomas|4|5||17
83413|Microcarcinome papillaire (C73.9)|Other specific carcinomas|4|5||17
83423|Carcinome papillaire à cellule  oxyphile (C73.9)|Other specific carcinomas|4|5||17
83433|Carcinome papillaire encapsulé (C73.9)|Other specific carcinomas|4|5||17
83443|Carcinome papillaire à cellules cylindriques (C73.9)|Other specific carcinomas|4|5||17
83453|Carcinome médullaire à stroma amyloïde (C73.9)|Other specific carcinomas|4|5||17
83463|Carcinome mixte médullaire et vésiculaire (C73.9)|Other specific carcinomas|4|5||17
83473|Carcinome mixte médullaire et papillaire (C73.9)|Other specific carcinomas|4|5||17
83503|Carcinome sclérosant non encapsulé (C73.9)|Adenocarcinomas|3|5||17
83601|Adénomatose endocrinienne multiple|Adenocarcinomas|3|5||17
83610|Tumeur juxtaglomérulaire (C64.9)|Adenocarcinomas|3|5||17
83700|Adénome corticosurrénalien, SAI (C74.0)|Adenocarcinomas|3|5||17
83703|Corticosurrénalome malin (C74.0)|Adenocarcinomas|3|5||17
83710|Adénome corticosurrénalien à cellules compactes (C74.0)|Adenocarcinomas|3|5||17
83720|Adénome corticosurrénalien pigmenté (C74.0)|Adenocarcinomas|3|5||17
83730|Adénome corticosurrénalien à cellules claires (C74.0)|Adenocarcinomas|3|5||17
83740|Adénome corticosurrénalien à cellules glomérulaires (C74.0)|Adenocarcinomas|3|5||17
83750|Adénome corticosurrénalien à cellules mixtes (C74.0)|Adenocarcinomas|3|5||17
83800|Adénome endométrioïde, SAI|Adenocarcinomas|3|5||17
83801|Adénome endométrioïde à la limite de la malignité|Adenocarcinomas|3|5||17
83803|Adénocarcinome endométrioïde, SAI|Adenocarcinomas|3|5||17
83810|Adénofibrome endométrioïde, SAI|Adenocarcinomas|3|5||17
83811|Adénofibrome endométrioïde à la limite de la malignité|Adenocarcinomas|3|5||17
83813|Adénofibrome endométrioïde malin|Adenocarcinomas|3|5||17
83823|Adénocarcinome endométrioïde, variante sécrétoire|Adenocarcinomas|3|5||17
83833|Adénocarcinome endométrioïde, variante à cellules ciliées|Adenocarcinomas|3|5||17
83843|Adénocarcinome de type endocervical|Adenocarcinomas|3|5||17
83900|Adénome des annexes cutanées (C44.-)|Adenocarcinomas|3|5||17
83903|Carcinome des annexes cutanées (C44.-)|Adenocarcinomas|3|5||17
83910|Fibrome folliculaire (C44.-)|Adenocarcinomas|3|5||17
83920|Syringofibroadénome (C44.-)|Adenocarcinomas|3|5||17
84000|Adénome des glandes sudoripares (C44.-)|Adenocarcinomas|3|5||17
84001|Tumeur des glandes sudoripares, SAI (C44.-)|Adenocarcinomas|3|5||17
84003|Adénocarcinome des glandes sudoripares (C44.-)|Adenocarcinomas|3|5||17
84010|Adénome apocrine|Adenocarcinomas|3|5||17
84013|Adénocarcinome apocrine|Adenocarcinomas|3|5||17
84020|Hidradénome nodulaire (C44.-)|Adenocarcinomas|3|5||17
84023|Hidradénome nodulaire malin (C44.-)|Adenocarcinomas|3|5||17
84030|Spiradénome eccrine (C44.-)|Adenocarcinomas|3|5||17
84033|Spiradénome eccrine malin (C44.-)|Adenocarcinomas|3|5||17
84040|Hidrocystome (C44.-)|Adenocarcinomas|3|5||17
84050|Hidradénome papillaire|Adenocarcinomas|3|5||17
84060|Syringoadénome papillaire (C44.-)|Adenocarcinomas|3|5||17
84070|Syringome, SAI (C44.-)|Adenocarcinomas|3|5||17
84073|Carcinome sclérosant d’un canal sudorifère (C44.-)|Adenocarcinomas|3|5||17
84080|Adénome papillaire eccrine (C44.-)|Adenocarcinomas|3|5||17
84081|Adénome papillaire digital agressif (C44.-)|Adenocarcinomas|3|5||17
84083|Adénocarcinome papillaire eccrine (C44.-)|Adenocarcinomas|3|5||17
84090|Porome eccrine (C44.-)|Adenocarcinomas|3|5||17
84093|Porome eccrine malin|Adenocarcinomas|3|5||17
84100|Adénome sébacé (C44.-)|Adenocarcinomas|3|5||17
84103|Adénocarcinome sébacé (C44.-)|Adenocarcinomas|3|5||17
84133|Adénocarcinome eccrine (C44.-)|Adenocarcinomas|3|5||17
84200|Adénome cérumineux (C44.2)|Adenocarcinomas|3|5||17
84203|Adénocarcinome cérumineux (C44.2)|Adenocarcinomas|3|5||17
84301|Tumeur muco-épidermoïde [obs]|Adenocarcinomas|3|5||17
84303|Carcinome muco-épidermoïde|Adenocarcinomas|3|5||17
84400|Cystadénome, SAI|Adenocarcinomas|3|5||17
84403|Cystadénocarcinome, SAI|Adenocarcinomas|3|5||17
84410|Cystadénome séreux, SAI|Adenocarcinomas|3|5||17
84413|Cystadénocarcinome séreux, SAI (C56.9)|Adenocarcinomas|3|5||17
84421|Cystadénome séreux à la limite de la malignité (C56.9)|Adenocarcinomas|3|5||17
84430|Cystadénome à cellules claires (C56.9)|Adenocarcinomas|3|5||17
84441|Tumeur kystique à cellules claires à la limite de la malignité (C56.9)|Adenocarcinomas|3|5||17
84500|Cystadénome papillaire, SAI (C56.9)|Adenocarcinomas|3|5||17
84503|Cystadénocarcinome papillaire, SAI (C56.9)|Adenocarcinomas|3|5||17
84511|Cystadénome papillaire à la limite de la malignité (C56.9)|Adenocarcinomas|3|5||17
84521|Tumeur pseudopapillaire solide (C25.-)|Adenocarcinomas|3|5||17
84523|Carcinome pseudopapillaire solide (C25.-)|Adenocarcinomas|3|5||17
84530|Adénome intracanalaire mucineux et papillaire (C25.-)|Adenocarcinomas|3|5||17
84531|Tumeur intracanalaire mucineuse et papillaire avec dysplasie modérée (C25.-)|Adenocarcinomas|3|5||17
84532|Carcinome intracanalaire mucineux et papillaire, non invasif (C25.-)|Adenocarcinomas|3|5||17
84533|Carcinome intracanalaire mucineux et papillaire, invasif (C25.-)|Adenocarcinomas|3|5||17
84540|Tumeur kystique du nœud auriculo-ventriculaire (C38.0)|Adenocarcinomas|3|5||17
84600|Cystadénome séreux papillaire, SAI (C56.9)|Adenocarcinomas|3|5||17
84603|Cystadénocarcinome séreux papillaire (C56.9)|Adenocarcinomas|3|5||17
84610|Papillome séreux de surface,  (C56.9)|Adenocarcinomas|3|5||17
84613|Carcinome séreux papillaire de surface (C56.9)|Adenocarcinomas|3|5||17
84621|Tumeur kystique séreuse papillaire à la limite de la malignité (C56.9)|Adenocarcinomas|3|5||17
84631|Tumeur séreuse papillaire de surface à la limite de la malignité (C56.9)|Adenocarcinomas|3|5||17
84700|Cystadénome mucineux, SAI (C56.9)|Adenocarcinomas|3|5||17
84701|Tumeur kystique mucineuse avec dysplasie modérée (C25.-)|Adenocarcinomas|3|5||17
84702|Cystadénocarcinome mucineux, non invasif (C25.-)|Adenocarcinomas|3|5||17
84703|Cystadénocarcinome mucineux, SAI (C56.9)|Adenocarcinomas|3|5||17
84710|Cystadénome papillaire  mucineux, SAI (C56.9)|Adenocarcinomas|3|5||17
84713|Cystadénocarcinome papillaire mucineux (C56.9)|Adenocarcinomas|3|5||17
84721|Tumeur kystique mucineuse à la limite de la malignité (C56.9)|Adenocarcinomas|3|5||17
84731|Cystadénome papillaire mucineux à la limite de la malignité (C56.9)|Adenocarcinomas|3|5||17
84800|Adénome mucineux|Adenocarcinomas|3|5||17
84803|Adénocarcinome colloïde|Adenocarcinomas|3|5||17
84806|Pseudomyxome du péritoine|Adenocarcinomas|3|5||17
84813|Adénocarcinome mucipare|Adenocarcinomas|3|5||17
84823|Adénocarcinome mucineux de type endocervical|Adenocarcinomas|3|5||17
84903|Adénocarcinome à cellules en bague à chaton|Adenocarcinomas|3|5||17
84906|Carcinome métastatique à cellules en bague à chaton|Adenocarcinomas|3|5||17
85002|Carcinome intracanalaire non infiltrant, SAI|Adenocarcinomas|3|5||17
85003|Adénocarcinome canalaire infiltrant, SAI (C50.-)|Adenocarcinomas|3|5||17
85012|Comédocarcinome non infiltrant (C50.-)|Adenocarcinomas|3|5||17
85013|Comédocarcinome, SAI (C50.-)|Adenocarcinomas|3|5||17
85023|Carcinome juvénile du sein (C50.-)|Adenocarcinomas|3|5||17
85030|Papillome intracanalaire|Adenocarcinomas|3|5||17
85032|Adénocarcinome papillaire intracanalaire non infiltrant (C50.-)|Adenocarcinomas|3|5||17
85033|Adénocarcinome papillaire intracanalaire infiltrant|Adenocarcinomas|3|5||17
85040|Adénome papillaire intrakystique|Adenocarcinomas|3|5||17
85042|Carcinome intrakystique non infiltrant|Adenocarcinomas|3|5||17
85043|Carcinome intrakystique, SAI|Adenocarcinomas|3|5||17
85050|Papillomatose intracanalaire, SAI|Adenocarcinomas|3|5||17
85060|Adénomatose du mamelon (C50.0)|Adenocarcinomas|3|5||17
85072|Carcinome intracanalaire micropapillaire (C50.-)|Adenocarcinomas|3|5||17
85083|Carcinome hypersécrétoire kystique (C50.-)|Adenocarcinomas|3|5||17
85103|Carcinome médullaire, SAI|Adenocarcinomas|3|5||17
