CIMO3|LIBTOPOCIMO3|CODTOPOCIMO3|reg_codtopocimo3|reg_libtopocimo3|Topo_encr|TOPO_IACR|GROUPE_TOPO_IACR
C17.9|Intestin grêle SAI|C179|C17|Intestin grêle|Intestin grêle|Intestin grêle|9
C18.2|Côlon ascendant|C182|C18|Colon|Colon|Colon|10
C18.1|Appendice|C181|C18|Colon|Colon|Colon|10
C18.0|Caecum|C180|C18|Colon|Colon|Colon|10
C18.9|Côlon SAI|C189|C18|Colon|Colon|Colon|10
C18.6|Côlon descendant|C186|C18|Colon|Colon|Colon|10
C18.8|Lésion à localisations contiguës du côlon|C188|C18|Colon|Colon|Colon|10
C18.5|Angle splénique du côlon|C185|C18|Colon|Colon|Colon|10
C18.4|Côlon transverse|C184|C18|Colon|Colon|Colon|10
C18.7|Côlon sigmoïde|C187|C18|Colon|Colon|Colon|10
C18.3|Angle hépatique du côlon|C183|C18|Colon|Colon|Colon|10
C19.9|Jonction recto-sigmoïdienne|C199|C19|Jonction recto-sigmoïdienne|Rectum et jonction|Rectum et jonction|11
C20.9|Rectum SAI|C209|C20|Rectum|Rectum et jonction|Rectum et jonction|11
C21.1|Canal anal|C211|C21|Anus et canal anal|Anus et canal anal|Anus et canal anal|12
C21.0|Anus SAI (à l'exclusion de la peau de l'anus, péri-anale et de la marge anale  C44.5)|C210|C21|Anus et canal anal|Anus et canal anal|Anus et canal anal|12
C21.8|Lésion à localisations contiguës du rectum, de l'anus et du canal anal|C218|C21|Anus et canal anal|Anus et canal anal|Anus et canal anal|12
C21.2|Zone cloacale|C212|C21|Anus et canal anal|Anus et canal anal|Anus et canal anal|12
C22.1|Voies biliaires intrahépatiques|C221|C22|Foie et voies biliaires intrahépatiques|Foie et voies biliaires intrahépatiques|Foie et voies biliaires intrahépatiques|13
C22.0|Foie|C220|C22|Foie et voies biliaires intrahépatiques|Foie et voies biliaires intrahépatiques|Foie et voies biliaires intrahépatiques|13
C23.9|Vésicule biliaire|C239|C23|Vésicule biliaire|Vésicule et autres localisations des voies biliaires|Vésicule et autres localisations des voies biliaires|14
C24.9|Voies biliaires SAI|C249|C24|Autres localisations et localisations non specifiées des voies biliaires|Vésicule et autres localisations des voies biliaires|Vésicule et autres localisations des voies biliaires|14
C24.8|Lésion à localisations contiguës des voies biliaires|C248|C24|Autres localisations et localisations non specifiées des voies biliaires|Vésicule et autres localisations des voies biliaires|Vésicule et autres localisations des voies biliaires|14
C24.1|Ampoule de Vater|C241|C24|Autres localisations et localisations non specifiées des voies biliaires|Vésicule et autres localisations des voies biliaires|Vésicule et autres localisations des voies biliaires|14
C24.0|Voies biliaires extra-hépatiques|C240|C24|Autres localisations et localisations non specifiées des voies biliaires|Vésicule et autres localisations des voies biliaires|Vésicule et autres localisations des voies biliaires|14
C25.9|Pancréas SAI|C259|C25|Pancréas|Pancréas|Pancréas|15
C25.7|Autres localisations spécifiées du pancréas|C257|C25|Pancréas|Pancréas|Pancréas|15
C25.4|Ilôts de Langerhans|C254|C25|Pancréas|Pancréas|Pancréas|15
C25.3|Canal pancréatique|C253|C25|Pancréas|Pancréas|Pancréas|15
C25.8|Lésion à localisations contiguës du pancréas|C258|C25|Pancréas|Pancréas|Pancréas|15
C25.2|Queue du pancréas|C252|C25|Pancréas|Pancréas|Pancréas|15
C25.1|Corps du pancréas|C251|C25|Pancréas|Pancréas|Pancréas|15
C25.0|Tête du pancréas|C250|C25|Pancréas|Pancréas|Pancréas|15
C26.8|Lésion à localisations contiguës de l'appareil digestif|C268|C26|Autres localisations et localisations mal définies des organes digestifs|Autres localisations et localisations mal définies des organes digestifs|Tractus gastro-intestinal SAI|16
|Tractus intestinal SAI|C260|C26|Autres localisations et localisations mal définies des organes digestifs|Autres localisations et localisations mal définies des organes digestifs|Tractus gastro-intestinal SAI|16
|Tractus gastro-intestinal SAI|C269|C26|Autres localisations et localisations mal définies des organes digestifs|Autres localisations et localisations mal définies des organes digestifs|Tractus gastro-intestinal SAI|16
C30.1|Oreille moyenne|C301|C30|Fosse nasale et oreille moyenne|Fosse nasale et oreille moyenne Sinus annexes de la face|Fosse nasale et oreille moyenne|17
C30.0|Fosse nasale (à l'exclusion du nez SAI C76.0)|C300|C30|Fosse nasale et oreille moyenne|Fosse nasale et oreille moyenne Sinus annexes de la face|Fosse nasale et oreille moyenne|17
C31.9|Sinus annexe SAI|C319|C31|Sinus annexes de la face|Fosse nasale et oreille moyenne Sinus annexes de la face|Sinus de la face|18
C31.8|Lésion à localisations contiguës des sinus accessoires|C318|C31|Sinus annexes de la face|Fosse nasale et oreille moyenne Sinus annexes de la face|Sinus de la face|18
C31.3|Sinus sphénoïdal|C313|C31|Sinus annexes de la face|Fosse nasale et oreille moyenne Sinus annexes de la face|Sinus de la face|18
C31.2|Sinus frontal|C312|C31|Sinus annexes de la face|Fosse nasale et oreille moyenne Sinus annexes de la face|Sinus de la face|18
C31.1|Sinus ethmoïdal|C311|C31|Sinus annexes de la face|Fosse nasale et oreille moyenne Sinus annexes de la face|Sinus de la face|18
C31.0|Sinus maxillaire|C310|C31|Sinus annexes de la face|Fosse nasale et oreille moyenne Sinus annexes de la face|Sinus de la face|18
C32.9|Larynx SAI|C329|C32|Larynx|Larynx|Larynx|19
C32.8|Lésion à localisations contiguës du larynx|C328|C32|Larynx|Larynx|Larynx|19
C32.3|Cartilage laryngé|C323|C32|Larynx|Larynx|Larynx|19
C32.2|Étage sous-glottique|C322|C32|Larynx|Larynx|Larynx|19
C32.1|Étage sus-glottique|C321|C32|Larynx|Larynx|Larynx|19
C32.0|Glotte|C320|C32|Larynx|Larynx|Larynx|19
C33.9|Trachée|C339|C33|Trachée|Trachée Bronche et poumon|Trachée Bronche et poumon|20
C34.9|Poumon SAI|C349|C34|Bronche et poumon|Trachée Bronche et poumon|Trachée Bronche et poumon|20
C34.8|Lésion à localisations contiguës du poumon|C348|C34|Bronche et poumon|Trachée Bronche et poumon|Trachée Bronche et poumon|20
C34.3|Lobe inférieur du poumon|C343|C34|Bronche et poumon|Trachée Bronche et poumon|Trachée Bronche et poumon|20
C34.2|Lobe moyen du poumon|C342|C34|Bronche et poumon|Trachée Bronche et poumon|Trachée Bronche et poumon|20
C34.1|Lobe supérieur du poumon|C341|C34|Bronche et poumon|Trachée Bronche et poumon|Trachée Bronche et poumon|20
C34.0|Bronche souche|C340|C34|Bronche et poumon|Trachée Bronche et poumon|Trachée Bronche et poumon|20
C37.9|Thymus|C379|C37|Thymus|Médiastin|Thymus|21
C38.8|Lésion à localisations contiguës du cœur, du|C388|C38|Coeur, médiastin et plèvre|Médiastin|Médiastin|22
C38.4|Plèvre SAI|C384|C38|Coeur, médiastin et plèvre|Plèvre|Médiastin|22
C38.3|Médiastin SAI|C383|C38|Coeur, médiastin et plèvre|Médiastin|Médiastin|22
C38.2|Médiastin postérieur|C382|C38|Coeur, médiastin et plèvre|Médiastin|Médiastin|22
C38.1|Médiastin antérieur|C381|C38|Coeur, médiastin et plèvre|Médiastin|Médiastin|22
C38.0|Coeur|C380|C38|Coeur, médiastin et plèvre|Médiastin|Médiastin|22
C39.0|Voies respiratoires supérieures SAI|C390|C39|Autres localisations et localisations mal définies de l'appareil respiratoire et des organes intrathoraciques|Autres localisations et localisations mal définies de l'appareil respiratoire et des organes intrathoraciques|Appareil respiratoire|23
C39.9|Localisations mal définies de l'appareil respiratoire|C399|C39|Autres localisations et localisations mal définies de l'appareil respiratoire et des organes intrathoraciques|Autres localisations et localisations mal définies de l'appareil respiratoire et des organes intrathoraciques|Appareil respiratoire|23
C39.8|Lésion à localisations contiguës de l'appareil respiratoire|C398|C39|Autres localisations et localisations mal définies de l'appareil respiratoire et des organes intrathoraciques|Autres localisations et localisations mal définies de l'appareil respiratoire et des organes intrathoraciques|Appareil respiratoire|23
C40.0|Os longs du membre supérieur, omoplate et articulations|C400|C40|Os, articulations et cartilage articulaire des membres|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C40.9|Os d’un membre SAI|C409|C40|Os, articulations et cartilage articulaire des membres|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C40.8|Lésion à localisations contiguës des os, des articulations et des cartilages articulaires des membres inférieurs|C408|C40|Os, articulations et cartilage articulaire des membres|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C40.3|Os courts du membre inférieur et articulations|C403|C40|Os, articulations et cartilage articulaire des membres|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C40.2|Os longs du membre inférieur et articulations|C402|C40|Os, articulations et cartilage articulaire des membres|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C40.1|Os courts du membre supérieur et articulations|C401|C40|Os, articulations et cartilage articulaire des membres|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C41.8|Lésion à localisations contiguës des os, des articulations et du cartilage articulaire|C418|C41|Os, articulations et cartilage articulaire de localisations autres et non spécifiées|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C41.3|Côte, sternum, clavicule et articulations|C413|C41|Os, articulations et cartilage articulaire de localisations autres et non spécifiées|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C41.9|Os SAI|C419|C41|Os, articulations et cartilage articulaire de localisations autres et non spécifiées|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C41.2|Colonne vertébrale (à l'exclusion du sacrum et coccyx)|C412|C41|Os, articulations et cartilage articulaire de localisations autres et non spécifiées|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C41.4|Os du bassin, sacrum, coccyx et cartilage articulaire|C414|C41|Os, articulations et cartilage articulaire de localisations autres et non spécifiées|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C41.0|Os du crâne, de la face et articulations|C410|C41|Os, articulations et cartilage articulaire de localisations autres et non spécifiées|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C41.1|Mandibule|C411|C41|Os, articulations et cartilage articulaire de localisations autres et non spécifiées|Os, articulations et cartilage articulaire|Os, articulations et cartilage articulaire|24
C42.4|Système hématopoïétique SAI|C424|C42|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|25
C42.2|Rate|C422|C42|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|25
C42.1|Moelle osseuse|C421|C42|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|25
C42.3|Système réticulo- endothélial SAI|C423|C42|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|25
C42.0|Sang|C420|C42|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|Systèmes hématopoiétique et réticulo-endothélial|25
C44.9|Peau SAI (à l'exclusion de la peau de la vulve, des grandes lèvres, du pénis, du scrotum)|C449|C44|Peau|Peau|Peau|26
C44.7|Peau de la hanche et du membre inférieur|C447|C44|Peau|Peau|Peau|26
C44.6|Peau de l'épaule et du membre supérieur|C446|C44|Peau|Peau|Peau|26
C44.5|Peau du tronc|C445|C44|Peau|Peau|Peau|26
C44.8|Lésion à localisations contiguës de la peau|C448|C44|Peau|Peau|Peau|26
C44.3|Peau des autres régions et des régions non précisées de la face|C443|C44|Peau|Peau|Peau|26
C44.2|Oreille externe|C442|C44|Peau|Peau|Peau|26
C44.1|Paupière SAI|C441|C44|Peau|Peau|Peau|26
C44.4|Peau du crâne et du cou|C444|C44|Peau|Peau|Peau|26
C44.0|Peau de la lèvre SAI|C440|C44|Peau|Peau|Peau|26
C47.0|Nerfs périphériques et  système nerveux autonome de la tête, de la face et du cou|C470|C47|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|27
C47.8|Lésion à localisations contiguës des nerfs périphériques et du système nerveux autonome|C478|C47|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|27
C47.6|Nerfs périphériques et  système nerveux autonome du tronc|C476|C47|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|27
C47.5|Nerfs périphériques et  système nerveux autonome du pelvis|C475|C47|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|27
C47.9|Système nerveux autonome SAI|C479|C47|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|27
C47.4|Nerfs périphériques et  système nerveux autonome du thorax|C474|C47|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|27
C47.3|Nerfs périphériques et  système nerveux autonome du thorax|C473|C47|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|27
C47.2|Nerfs périphériques et  système nerveux autonome du membre inférieur et de la hanche|C472|C47|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|27
C47.1|Nerfs périphériques et  système nerveux autonome du membre supérieur et de l'épaule|C471|C47|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|Nerfs périphériques et système nerveux autonome|27
C48.8|Lésion à localisations contiguës du rétropéritoine et du péritoine|C488|C48|Rétropéritoine et péritoine|Rétropéritoine et péritoine|Rétropéritoine et péritoine|28
C48.2|Péritoine SAI|C482|C48|Rétropéritoine et péritoine|Rétropéritoine et péritoine|Rétropéritoine et péritoine|28
C48.1|Régions spécifiées du péritoine|C481|C48|Rétropéritoine et péritoine|Rétropéritoine et péritoine|Rétropéritoine et péritoine|28
C48.0|Rétropéritoine|C480|C48|Rétropéritoine et péritoine|Rétropéritoine et péritoine|Rétropéritoine et péritoine|28
C49.9|Tissu conjonctif, tissu sous-cutané et autres tissus mous, SAI|C499|C49|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|29
C49.8|Lésion à localisations contiguës du tissu conjonctif, du tissu sous-cutané et autres tissus mous|C498|C49|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|29
C49.6|Tissu conjonctif, tissu sous-cutané et autres tissus mous du tronc SAI|C496|C49|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|29
C49.5|Tissu conjonctif, tissu sous-cutané et autres tissus mous du bassin|C495|C49|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|29
C49.4|Tissu conjonctif, tissu sous-cutané et autres tissus mous de l'abdomen|C494|C49|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|29
C49.3|Tissu conjonctif, tissu sous-cutané et autres tissus mous du thorax|C493|C49|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|29
C49.2|Tissu conjonctif, tissu sous-cutané et autres tissus mous de la hanche et du membre inférieur|C492|C49|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|29
C49.1|Tissu conjonctif, tissu sous-cutané et autres tissus mous de l'épaule et du membre supérieur|C491|C49|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|29
C49.0|Tissu conjonctif, tissu sous-cutané et autres tissus mous de la tête, de la face et du cou|C490|C49|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|Tissu conjonctif, tissu sous-cutané et autres tissus mous|29
C50.5|Quadrant inféro-externe du sein|C505|C50|Sein|Sein|Sein|30
C50.4|Quadrant supéro-externe du sein|C504|C50|Sein|Sein|Sein|30
C50.3|Quadrant inféro-interne du sein|C503|C50|Sein|Sein|Sein|30
C50.2|Quadrant supéro-interne du sein|C502|C50|Sein|Sein|Sein|30
C50.1|Région centrale du sein|C501|C50|Sein|Sein|Sein|30
C50.0|Mamelon|C500|C50|Sein|Sein|Sein|30
C50.6|Prolongement axillaire du sein|C506|C50|Sein|Sein|Sein|30
C50.8|Lésion à localisations contiguës du sein|C508|C50|Sein|Sein|Sein|30
C50.9|Sein SAI (à l'exclusion de la peau du sein)|C509|C50|Sein|Sein|Sein|30
C51.9|Vulve SAI|C519|C51|Vulve|Appareil génital féminin|Vulve|31
C51.8|Lésion à localisations contiguës de la vulve|C518|C51|Vulve|Appareil génital féminin|Vulve|31
C51.2|Clitoris|C512|C51|Vulve|Appareil génital féminin|Vulve|31
C51.1|Petite lèvre|C511|C51|Vulve|Appareil génital féminin|Vulve|31
C51.0|Grande lèvre|C510|C51|Vulve|Appareil génital féminin|Vulve|31
C52.9|Vagin SAI|C529|C52|Vagin|Appareil génital féminin|Vagin|32
C53.9|Col utérin|C539|C53|Col utérin|Col utérin|Col utérin|33
